,PUMA_y,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",46494,411312.30000000005,641.3363392167951,1054.998278011628,45439.001721988374,47548.998278011626
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,42622,338700.80000000005,581.9800683872259,957.3572124969866,41664.64278750301,43579.35721249699
25,300,Southeast Oklahoma PUMA,42434,231795.35,481.45129556373615,791.987381202346,41642.01261879766,43225.98738120234
23,100,Northeast Oklahoma PUMA,41436,215524.95,464.2466478069605,763.68573564245,40672.31426435755,42199.68573564245
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,34801,285254.95,534.0926417766865,878.5823957226493,33922.417604277354,35679.582395722646
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",34384,233253.85,482.96361146570865,794.4751408610907,33589.52485913891,35178.47514086109
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",33370,334060.35000000003,577.9795411604117,950.7763452088773,32419.223654791123,34320.77634520888
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,32373,453905.05000000005,673.7247583397838,1108.2772274689444,31264.722772531055,33481.27722746894
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",28413,180442.1,424.7847690301525,698.7709450546009,27714.229054945397,29111.770945054603
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",28227,183808.90000000002,428.72940183756936,705.2598660228016,27521.740133977197,28932.259866022803
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",27487,285474.35000000003,534.2979973759961,878.9202056835137,26608.079794316487,28365.920205683513
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",26271,184322.95,429.32848729149106,706.2453615945028,25564.7546384055,26977.2453615945
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",25284,288102.4,536.751711688002,882.9565657267634,24401.043434273237,26166.956565726763
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,25141,312230.60000000003,558.7759837358797,919.186493245522,24221.81350675448,26060.18649324552
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",24531,154719.6,393.3441241457663,647.0510842197855,23883.948915780216,25178.051084219784
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",24131,178255.15000000002,422.20273566143555,694.5235001630615,23436.47649983694,24825.52350016306
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,23745,167165.6,408.85889986644537,672.5728902803027,23072.427109719698,24417.572890280302
20,500,Panhandle & Northwest Oklahoma PUMA,23289,160156.35,400.1953897785431,658.3214161857034,22630.678583814297,23947.321416185703
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",23252,129758.85,360.22055743669046,592.5628169833558,22659.437183016646,23844.562816983354
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",22944,199792.5,446.9815432431187,735.2846386349303,22208.71536136507,23679.28463863493
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",21948,190183.15000000002,436.099931208433,717.3843868378723,21230.61561316213,22665.38438683787
11,800,Canadian County--Oklahoma City (West) PUMA,21456,295802.0,543.8768242902064,894.6773759573896,20561.322624042612,22350.677375957388
3,400,Southwest Oklahoma PUMA,20824,277367.95,526.6573364152445,866.3513184030771,19957.648681596922,21690.351318403078
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,20373,251218.65000000002,501.21716850084056,824.5022421838827,19548.497757816116,21197.502242183884
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,19292,219464.90000000002,468.47081018992,770.6344827624183,18521.36551723758,20062.63448276242
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,17857,327128.25,571.9512654064156,940.8598315935536,16916.140168406448,18797.859831593552
4,601,Comanche County (Central)--Lawton City PUMA,14744,289732.0,538.2675914449986,885.4501879270227,13858.549812072977,15629.450187927023
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,14444,180976.6,425.4134459558137,699.8051185973136,13744.194881402687,15143.805118597313
